# side=server impl=A.G utc=2026-09-12T08:54:02.4037753Z
# borders=62,0..1700,1550 maxHeight=646.01 terrainSize=1600,1600
# sceneXmlCrc=0 navMeshCrc=0 navMeshFaces=19396
x,y,terrain,face,faceGroup,faceIsland,heightOk,height,patchScene,patchU,patchV,envCurrent,envTypes,snow,rain
79.0625,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
113.1875,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
147.3125,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
181.4375,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
215.5625,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
249.6875,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
283.8125,16.1458,19,1010,19,-1,1,0,0,0,0,19,,0,0
317.9375,16.1458,18,1014,18,-1,1,0,0,0,0,18,,0,0
352.0625,16.1458,20,8984,20,76,1,0,0,0,0,20,,0,0
386.1875,16.1458,2,9314,2,76,1,0,0,0,0,2,,0,0
420.3125,16.1458,2,9318,2,76,1,0,0,0,0,2,,0,0
454.4375,16.1458,2,8651,2,76,1,0,0,0,0,2,,0,0
488.5625,16.1458,2,9343,2,76,1,0,0,0,0,2,,0,0
522.6875,16.1458,2,9345,2,76,1,0,0,0,0,2,,0,0
556.8125,16.1458,2,9346,2,76,1,0,0,0,0,2,,0,0
590.9375,16.1458,2,9347,2,76,1,0,0,0,0,2,,0,0
625.0625,16.1458,2,9347,2,76,1,0,0,0,0,2,,0,0
659.1875,16.1458,2,9348,2,76,1,0,0,0,0,2,,0,0
693.3125,16.1458,2,9349,2,76,1,0,0,0,0,2,,0,0
727.4375,16.1458,2,8933,2,76,1,0,0,0,0,2,,0,0
761.5625,16.1458,2,9351,2,76,1,0,0,0,0,2,,0,0
795.6875,16.1458,2,9362,2,76,1,0,0,0,0,2,,0,0
829.8125,16.1458,2,9364,2,76,1,0,0,0,0,2,,0,0
863.9375,16.1458,2,9365,2,76,1,0,0,0,0,2,,0,0
898.0625,16.1458,2,9366,2,76,1,0,0,0,0,2,,0,0
932.1875,16.1458,2,9367,2,76,1,0,0,0,0,2,,0,0
966.3125,16.1458,2,9697,2,76,1,0,0,0,0,2,,0,0
1000.438,16.1458,2,9373,2,76,1,0,0,0,0,2,,0,0
1034.562,16.1458,2,9377,2,76,1,0,0,0,0,2,,0,0
1068.688,16.1458,2,9378,2,76,1,0,0,0,0,2,,0,0
1102.812,16.1458,2,9379,2,76,1,0,0,0,0,2,,0,0
1136.938,16.1458,2,9380,2,76,1,0,0,0,0,2,,0,0
1171.062,16.1458,2,9380,2,76,1,0,0,0,0,2,,0,0
1205.188,16.1458,2,9381,2,76,1,0,0,0,0,2,,0,0
